SN,NAME,Project name,Organisation
71,Eugene Lyapustin,Equirectangular Projection (ERP) and Cubemap Projection (CMP) conversion,Intel Video and Audio for Linux
72,Sundeep Chand,User Story - Improvements and new features,Python Software Foundation
73,Radesh Kumar,Write Frontend Tests,Oppia Foundation
74,Junduo Dong,pgagroal: Metrics and monitoring,PostgreSQL
75,Gagan Aryan,Reduce Memory Usage - Radis,openastronomy
76,Nnamdi,Boston.gov Solar Roof Potential,Mayor's Office of New Urban Mechanics (City of Boston)
77,Guillem Felis,Crop Doc,Liquid Galaxy project
78,Aniket Ranjan,Enhancing the admin panel of openPIP,National Resource for Network Biology (NRNB)
79,Shruti Sridhar,Quality Assurance and Continuous Integration for Applications in Life Sciences and Medicine,Debian
80,Chirag Kasat,Developing Testing Harness For PGWEB,PostgreSQL
81,Anis Ismail,End-to-End Deep Learning Regression for Measurements with the CMS Experiment,Machine Learning for Science (ML4SCI) Umbrella Organization
82,Tanmay Chavan,Implementing an efficient algorithm to find Intersection of Bezier curves,KDE Community
83,ankiitgupta7,Simulating Multimodal Communication in Vervet Monkeys with Braitenberg Vehicles,Red Hen Lab
84,Pinku Deb Nath,Build an open-source realtime web video effects app,MediaPipe
85,Caleb Herbel,Dynamic Partitioning for Interval Joins in Asterix Database,The Apache Software Foundation
86,Yash Bhambhu,Animating a poor man [PMR-III],CCExtractor Development
87,Arsh Pratap,Native ROS2 support,ArduPilot
88,Callum Rollo,erdappy-griddap: Accessing gridded oceanographic data in near real time,Integrated Ocean Observing System (IOOS)
89,eppisai (Aman Singh),AXIOM Remote: Firmware Improvement And Extension,apertus° Association
90,satbws,VLC macOS interface redesign,VideoLAN
91,Amanjot Singh,Open Geometry Viewer(OGV),BRL-CAD
92,Ybrahin Martinez,(PyAr) PyZombies,Python Software Foundation
93,Sanchita Singh,Elastic Compute Cloud-based Amazon Machine Image for XWiki,XWiki
94,Aryan Shridhar,Enhance Recent topic view with Multiselect Dropdown List Widget And Implement Reusable Widgets,Zulip
95,Mithil,Liquid Galaxy Stellarium,Liquid Galaxy project
96,Riccardo Mancini,Multi-threading in perf,The Linux Foundation
97,Nishchal Singi,A frontend for Niffler DICOM framework for machine learning pipelines and processing workflows,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
98,Yemdjih Kaze Nasser,Machine Learning Credit Scorecard PHASE 4,The Apache Software Foundation
99,Viraj Patel,Tensorflow GUI,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
100,Zeyad Gouda,Use eBPF to lock/unlock the network,CRIU
101,Abhay Garg,Introduce Support for Displaying Copyright Licenses,Oppia Foundation
102,Niklas Muennighoff,TripPy + DeepPavlov,DeepPavlov
103,Anna Bogdanova,Extend CSS Selectors Level 4 Support in cssselect,Python Software Foundation
104,Aman Dwivedi,Adding React Library to new UI,FOSSology
105,Kensei Nakada,web-based simulator for scheduler behaviour (Project: Kubernetes),CNCF
106,Jeffrey Paul,3D Plotting,openastronomy
107,Rakshit P,Matrix State of the Art,Pharo Consortium
108,Alejandro Fernández,An object detection component for LearnBlock,RoboComp
109,nakuldx,corobo Enhancement Project,coala
110,Chuyang Chen,Integrate Enzyme into Rust to Provide High-performance Differentiation in Rust,The LLVM Compiler Infrastructure
111,aniket agarwalla,Moving Least Squares for point set smoothing and differential properties estimation,CGAL Project
112,Alluri Harshit Varma,Quality Improvements for Light & Shadow,The Terasology Foundation
113,James Culver,New Release,Pidgin Instant Messenger
114,Karan Singh,Vitrivr Reads,vitrivr
115,qlin,Pocket Code for Android: HMS API Machine Learning and AI support,International Catrobat Association
116,Aditi Verma,Integrating NumPy into PySyft,OpenMined
117,Sinan Gençoğlu,Background Estimation with Neural Autoregressive Flows Proposal,Machine Learning for Science (ML4SCI) Umbrella Organization
118,Akash Dhiman,Work on enhancing Zulip's mobile experience.,Zulip
119,Bhuvaneshwar Vemula,Command Palette,Godot Engine
120,Nicholas Mancuso,Upgrade Java Grammar from ANTLR2 to ANTLR4,Checkstyle
121,Emma Bastås,Integrating performance improvements from the Elm compiler into elm-format,Elm Tooling
122,Pranav Saxena,Implement Retest Functionality,OWASP Foundation
123,Yasharth Dubey,The Multisite project,The Palisadoes Foundation
124,Shehjad Khan,TensorFlow Lite - Natural Language Processing Example Generation,TensorFlow
125,Archit Rungta,OpenCV bindings for Julia,OpenCV
126,Nabeel Danish,Polygon Based Collision Detection System,The ENIGMA Team
127,Harshit Chopra,"Git credentials binding for sh, bat, and powershell",Continuous Delivery Foundation
128,Saloni,Coding style checker bot for Gerrit,Haiku
129,Arsh Sharma,Improve the usability of cert-manager on multiple cloud providers,CNCF
130,Tarun Moses Akumalla,RDF Writer for Golang,SPDX
131,KUMAR SHIVAM,Implement and improve several accessibility functions in Joomla! Keyboard navigation,Joomla!
132,Amr Elsersy,Machine Learning Extension to Ignition Gazebo,Open Robotics
133,Divyasheel,GSOC 2021 Proposal - GUI for listing and managing available IPP services,The Linux Foundation
134,Roberto David Aleman,Aerospaces sats,AerospaceResearch.net
135,Mrigank Anand,Extending functionalities and Re-Design WebUI Graphs,OWASP Foundation
136,David Ayotte,Implementation of the graded ring of quasimodular forms,SageMath
137,Ujjwal Agarwal,JSON Support for Golang libraries,SPDX
138,Georgios Giannakoulias,Development of a DIY robot kit for educators,GFOSS - Open Technology Alliance
139,Atharva Raykar,Finish converting submodule to builtin,Git
140,Soumyadip Mondal,Building a Cronet-based HTTP package in Dart,Dart
141,Aditya Kane,Implement and publish state-of-the-art ML models in TensorFlow 2 : ResNet-RS and EfficientNetV2,TensorFlow
142,Ahmed-1,PyTorch-Ignite: Development of a Higher-level API,NumFOCUS
143,Isabel Lima,Shared Storage for Property Wrappers,Swift
144,Deepak Singh Rathore,Typed API for LuaRocks,LabLua
145,Julian Komaromy,Mesh Decimation using Probabilistic Quadrics,CGAL Project
146,Adam Li,An Electrophysiology Connectivity Package in the MNE Environment,Python Software Foundation
147,a-yyg,SAGA2 engine,ScummVM
148,Shailesh Kanojiya,GSOC - Create cypress tests for wikipedia-preview,Wikimedia Foundation
149,Mahanaz Atiqullah,"A ""Bite-Sized"" BitArray",Swift
150,Nasir Hemed,Metadata extraction using dav1d,VideoLAN
151,Aaryan Porwal,Visual Regression Testing of Ceph-Dashboard,Ceph
152,Benura Abeywardena,Improve Robustness by fixing Issues / Feature Requests from the backlog,The Apache Software Foundation
153,Kathrin Elmenhorst,Measuring QUIC and TLS censorship with OONI Probe,Digital Impact Alliance (DIAL) at UN Foundation
154,Bayram Çiçek,100 Paper Cuts,LibreOffice
155,Venkata Shravan,Migrating sample-platform from Kernel-based Virtual Machine to Google Cloud.,CCExtractor Development
156,Ritik Jain,Peer to Peer Message Transfer,AOSSIE
157,The_DarkFire_,implementation of SMP HALs,ReactOS
158,Sarthak Singh,Scan8,SCoRe Lab
159,George Mitenkov,Fixing fundamental issues in LLVM IR: Introducing a byte type to solve load type punning,The LLVM Compiler Infrastructure
160,Sahil,Improve CVE database structure and tracking of multiple reports,Python Software Foundation
161,Xinyu Wang,Optimize Kernel::require API for Ruby 3,Ruby
162,Kunwar Maheep Singh,Implementations of AVX-512 functions,Open Bioinformatics Foundation
163,Hariom Chaturvedi,PcapMonkey Improvements,The Honeynet Project
164,Ayush Shrivastava,Irdest Android Client,freifunk
165,Alessandro Cheli,Applied equality saturation with Metatheory.jl,The Julia Language
166,infaz,Support JOOQ API within gora-sql module,The Apache Software Foundation
167,Shubham Awasthi,A Frontend For Loopsim Framework To Model Workflows With Closed Loops,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
168,Himanshi Kalra,Regression Testing of Geometry Nodes,Blender Foundation
169,Victor Hugo Cano Gil,Extended Interoperability of ChemTools and Quantum Chemistry Software,Open Chemistry
170,Tina Ismail,Revamping the Juice Shop Score Board,OWASP Foundation
171,Dhanmoni Nath,Enabling and prototyping JavaScript visualizations in the Qt-based viewer TOPPView (OpenMS).,Open Bioinformatics Foundation
172,Manav Agarwal,Adapt schema editors to operate from model states instead of fake rendered models,Django Software Foundation
173,Octávio H. Müller Barrio,Liquid Galaxy Image Satellite Visualizer,Liquid Galaxy project
174,Parth Pant,On-Canvas Alignment Guides,Inkscape
175,Vipul Chhabra,Brokering Continuous Delivery through the ELIXIR Cloud service registry,Global Alliance for Genomics and Health
176,Noah Liguori-Bills,Expand ModelBricks.org and VCell API,National Resource for Network Biology (NRNB)
177,Swapnal Shahil,SCoRe Lab Open MF Proposal,SCoRe Lab
178,Jenniline Ebai,Activity Cull,CiviCRM LLC
179,Baidyanath Kundu,Utilize second order derivatives from Clad in ROOT,CERN-HSF
180,D R Siddhartha,Scrapy: Feed Enhancements,Python Software Foundation
181,Pratyush Tiwari,Cut Mode,Pitivi
182,zwerg4,Catrobat iOS Team proposal for Ticket: Support for Catrobat Language version 0.994 - 0.99992,International Catrobat Association
183,Sophia He,Uncovering the Enigma of Type-Ia Supernovae: Thermonuclear Supernova Classification via their Nuclear Signatures,Machine Learning for Science (ML4SCI) Umbrella Organization
184,Piotrek Brzeziński,"""Focus on the music"" - music-oriented editing for everyone",Pitivi
185,Anubhav Singh-1,VLC iOS UI update,VideoLAN
186,Manas Gupta,Clang Static Analyzer: Constraint Solver Improvements,The LLVM Compiler Infrastructure
187,Rasswanth S,Implement FALCON: Honest-Majority Maliciously Secure Framework for Private Deep Learning in SyMPC,OpenMined
188,Sumitra Saksham,Multilingual Support in the App,The Palisadoes Foundation
189,Mrinalkanti Roy,3D CAD scripting using Smalltalk,Pharo Consortium
190,Vivek Agrawal,Revolutionizing the Tasks API,Learning Equality
191,Pranav Mahajan,A Python toolbox for computing high-order information in neuroimaging,INCF
192,M. Vignesh Venkataraman,JaxModel: A high level API for building purely functional models suitable for Molecular Predictions & Simulations,Open Chemistry
193,Samarjeet Singh,Infinite Scroll,Navidrome
194,Purvansh Singh,Banking Service with Open Risk and Hydra Ecosystem,Hydra Ecosystem
195,Aman  Verma,Implementation of Physical Shape Function,CERN-HSF
196,jaxmatrix,3Dmol UI Design and Improved Controls,Open Chemistry
197,Yash,Webiu,SCoRe Lab
198,S.M Mukarram Nainar,TX AArch64 Doubles SIMD Assembly,FFmpeg
199,Haris Zafeiropoulos,From DNA sequences to metabolic interactions: building a pipeline to extract key metabolic processes,GeomScale
200,Tanmay Singal,Implement IIIF read in Cineast,vitrivr
201,Rishab Mallick,Extract important information from scientific papers,Genome Assembly and Annotation
202,Nabeel Merchant,IMS QTI 2.2 DEVELOPMENT PROPOSAL,Learning Equality
203,Tim Ramlot,'kubectl cert-manager install': A CLI plugin to make it easy to install and verify the installation of cert-manager,CNCF
204,Jake Watson,Create robust visual fiducial tags,OpenCV
205,Sofia Strukova,Machine Learning Model for the Planetary Albedo,Machine Learning for Science (ML4SCI) Umbrella Organization
206,Ganesh Pawar,"Improve tooling, integrations, and testing infrastructure of Zulip",Zulip
207,Omkar  Bhilare,BeagleWire Software,BeagleBoard.org Foundation
208,Matan,GOING NATS,Ceph
209,Rupal Sharma,Path finding algorithm using OpenCV,"Center for Research in Open Source Software, UC Santa Cruz"
210,Aishwary Saxena,Write Frontend Tests,Oppia Foundation
211,Siddhant Sehgal,Paste Special Proposal,Joplin
212,Isaiah Blanks,Destination: Sol World-Gen Modularization,The Terasology Foundation
213,gupt4j1,Improvements In WebUI for Nettacker,OWASP Foundation
214,Mohammad Arshad,Deluge Mobile client,CCExtractor Development
215,Ninad Jangle,Block Based Circuit Design,Free and Open Source Silicon Foundation
216,Ahmed Moorsy,Arabic Sign Language Recognition,MediaPipe
217,Michal Lenc,NuttX Support for Rapid Control Applications Development with pysimCoder,The Apache Software Foundation
218,Bikram Biswas-1,Multiple SSH key holding on CloudStack,The Apache Software Foundation
219,Joao Luiz,Single-Cell pathway annotation pipeline,Open Genome Informatics
220,Halil İbrahim Ceylan,Buildpacks Lifecycle Prepare Phase,CNCF
221,Vinayak Sankar,Remote Test System for AXIOM Remote,apertus° Association
222,luc65r,FFmpeg x86-64 assembly FFT,FFmpeg
223,Tamara David,Advancement through project merge,International Catrobat Association
224,Paulette Vazquez,Geospatial Tools for Post-Disaster Housing Analysis,Mayor's Office of New Urban Mechanics (City of Boston)
225,ApratimRanChak,Alexa Top Sites Captcha and Tor Block Monitoring,Digital Impact Alliance (DIAL) at UN Foundation
226,Rachana Podaralla,On Canvas Marker Editing,Inkscape
227,Nickil Maveli,Detecting Joint Meaning Construal by Language and Gesture,Red Hen Lab
228,Veenit Kumar,Implement Edge Coloring Algorithm for pgRouting by the Boost Graph Library.,OSGeo - Open Source Geospatial Foundation
229,Rishabh Sanjay,Adding New Plots to ArviZ,NumFOCUS
230,Sarthak Saxena,API Conversion API,Postman
231,Prateek Ganguli,Android SDK tools in Debian,Debian
232,Mikhail Nitenko,H264/HEVC ARM64 10-bit assembly,FFmpeg
233,taylorzhancher,Enhance Accessibility of More ScummVM Engines by Text To Speech (TTS),ScummVM
234,Siddharth Bhatia,Multi-Agent Reinforcement Learning Environments in GridWorlds.jl,The Julia Language
235,Fang,APISIX ingress controller integration with Knative Serving,The Apache Software Foundation
236,Aviral Jain,Monitoring setup for EvalAI,CloudCV
237,Sang Woo Bae,Apache CloudStack - Synchronization of network devices on newly added hosts for Persistent Networks,The Apache Software Foundation
238,Dhananjay Purohit,Improve site architecture and add features to the Orcamap,Orcasound
239,Arash Ahmadian,Capturing an abstracted model of Xilinx Artix7 using VTR,SymbiFlow
240,Siyi Wei,Fairness extension for mlr3,The R Project for Statistical Computing
241,Savish Bedi,Static code upload challenge evaluation and enhancements in GitHub based challenge creation,CloudCV
242,Abhay Raj Singh,libnbd/nbdcopy acceleration using io_uring,libvirt
243,Rahul Chauhan-1,Rucio and CS3API to enable data management for the ScienceMesh cloud,CERN-HSF
244,Omkar Prabhune,Apertium Browser Plugin,Apertium
245,Purhan Kaushik,Revamp Netengine and add its SNMP capability to OpenWISP Monitoring,OpenWISP
246,Rishikesh Vanarse,IMU Calibration & Self-Correction Algorithm for Open Source Autonomous Vehicle Controller,"Center for Research in Open Source Software, UC Santa Cruz"
247,Avishrant Sharma,Integration of alternate Code Analysis Tools and Asynchronous Scan Enhancements.,AboutCode
248,Bhaarat Kumar Khatri,Update the front-page of Wikimedia projects,Wikimedia Foundation
249,Atharva Nimbalkar,Implementation of NEON functions (SIMDe),Open Bioinformatics Foundation
250,Aner Lucero,Enhanced figure support in pandoc,Haskell.org
251,Mohammed Jeeshan Sheikh,SciML : Discretizations of partial differential equations,NumFOCUS
252,Aditya Kasibhatla,Graphical-User Interface for affective human-robot interactions,RoboComp
253,Sayan Nath,💻 GSoC 2021: TensorFlow Lite Proposal,TensorFlow
254,Vishv Kakadiya,Transliterations editor and API,Cuneiform Digital Library Initiative (CDLI)
255,Yassmin Hesham,Simultaneous path planning and following using Model Predictive Control (SPAF),RoboComp
256,lvrcek,Reactome Pathway Embeddings,Open Genome Informatics
257,rgo3,A Feature Probe API for cilium/ebpf,Cilium
258,Rishabh Ranjan Jha,Feature Enhancement - Cookie Management System,Joomla!
259,Aniket Giri,Implement 3D scene visualization support using Potree and integrate with MapMint,OSGeo - Open Source Geospatial Foundation
260,María Belén,Retain active status of authentication tokens,Metasploit
261,Ajay-1,gghexbin: An R package to enable the creation of high quality hexagonally binned graphs that can exploit all of ggplot2’s functionality,The R Project for Statistical Computing
262,Arkajyoti Basak,Improve and add to the drone exercises,JdeRobot - Universidad Rey Juan Carlos
263,Mohammad Warid,spectral-workbench.js JS/Rails integration (Public Lab),Public Lab
264,Ank,An orchestration system for MGnify running on distributed heterogeneous compute clusters,Genome Assembly and Annotation
265,Isaac Miti,Design and implementation of Code is Science front-end using ReactJS,Open Bioinformatics Foundation
266,William Kimmerer,Differentiable GraphBLAS,The Julia Language
267,Sachin Som,OpenMF-GSOC'21 Proposal-Sachin Som,SCoRe Lab
268,Yatharth Vyas,Joomla Feature Enhancements,Joomla!
269,Stefanos Vlachos,EAT - EAP Additional Testsuite,JBoss Community
270,Thomas Huber,OpenACC Diagnostics from the OpenMP Runtime,The LLVM Compiler Infrastructure
271,Aman Godara,GSoC Proposal for Fortran-lang,Fortran-lang
272,Meghal Bisht,Eventyay Open Event : Refactor current frontend in Ember to React with Next,Digital Impact Alliance (DIAL) at UN Foundation
273,Shubhank Saxena,"MediaCMS - modern, fully featured video and media CMS",GFOSS - Open Technology Alliance
274,antelk,Support of the simulation-based inference with the model fitting toolbox,INCF
275,Aryan Kenchappagol,Implement 3D scene visualization support using Potree and integrate with MapMint,OSGeo - Open Source Geospatial Foundation
276,Federica Trevisan,Developing WellcomeML further for the visualisation of academic research data,Open Bioinformatics Foundation
277,Zhuoran He,TLA+ Spec for Async Commit,CNCF
278,Archisman Dey,Improvemens to simpPRU,BeagleBoard.org Foundation
279,Sankalp (codesankalp),Bring professional efficiency to OpenWISP WiFi Login Pages,OpenWISP
280,Timo Rantakaulio,"Finnish, Olonets-Karelian and Karelian lexicon development",Apertium
281,Viet Hoang,LORIS Codebase Maintenance and Automated Testing,INCF
282,Sundaram Dubey,Reimplementing Open Event Frontend in React,Digital Impact Alliance (DIAL) at UN Foundation
283,Yu Kimura,Develope benchmark tool specialized in real-world rails application,Ruby
284,Nishtha Bodani,Beacon,CCExtractor Development
285,Purva Thakre,Quantum Gate Decomposition for QuTip,NumFOCUS
286,Heshan Andrews,Export and Import Feature for the OMRS Reporting Module,OpenMRS
287,Krishita Jain,Redesigning and Updating the Learner Dashboard Page.,Oppia Foundation
288,Hritik Vijay,VulnerableCode importers refactoring and addition,AboutCode
289,Sidharth Shambu,CCSDS Space Packet / USLDP Transport Layer for Python and MicroPython,LibreCube Initiative
290,Zixuan Li,Improving Zulip Bots and Integrations.,Zulip
291,Ali Sedaghati,Learning Loop Transformation Heuristics,The LLVM Compiler Infrastructure
292,Hardik Thami,Implement a CheckBox Group in App Inventor,MIT App Inventor
293,Shoaib Ahmed Siddiqui,3D Convolutions for GPU,CERN-HSF
294,Alexander Galarraga,Dynamics Algorithmic Improvements,SageMath
295,Vuong Ho,Opening hours tag evaluator,OpenStreetMap
296,Harshita Mangla,User Story - Improvements and New Features,Python Software Foundation
297,Alan Cueva,Custom formatting of strings in MariaDB queries,MariaDB Foundation
298,Ethan Long,nIME,Plan 9 Foundation
299,Kabir,Finalizing the 2D Regularized Boolean Set Operations Demo,CGAL Project
300,Ajit Mujumdar,Translation System Refinement,Public Lab
301,Praveen Sahu,CuPy: Extending CuPy coverage of SciPy functions,NumFOCUS
302,nrumeshp,COMDEV-412 Apache DolphinScheduler Parameter coverage,The Apache Software Foundation
303,Alejandro Rusi,Courseware as Code Enablement,GitLab
304,Saransh Chopra,Automated Twitter bot to run PyBaMM Simulations,NumFOCUS
305,Toshiki Maekawa,Utilize LoopNest Pass,The LLVM Compiler Infrastructure
306,Evan Lee,Assessing the Performance Effects of Adding New Synthesized Rewrite Rules to Halide,Halide
307,Saswata Mukherjee,Smart automation for project documentation and website,CNCF
308,Stelios Malamas,Add machine-readable debug & stats /proc file,Samba
309,Shubhamjain,Write missing unit tests,LibreOffice
310,Mehdi Mabrouki,"Suggest, implement and publish state-of-the-art ML models in TensorFlow 2",TensorFlow
311,Kush Kothari,[Data Retriever] Adding Spatial Dataset Support - Kush Kothari,NumFOCUS
312,Hemanth Krishna,[Litmus Portal] Authentication Module Refactor and OAuth Implementation,CNCF
313,Akhil J Nair,Adapting algorithms to C++ 20 and Ranges TS,STE||AR Group
314,Albert Morea,Orbit Satellite Visualizer for Liquid Galaxy,Liquid Galaxy project
315,chazuttu,PyAfipWs: Library for  Developers (PyAr),Python Software Foundation
316,Leo,Expanded and Enhanced Big Data Infrastructure on Gentoo,Gentoo Foundation
317,Shubham Kumar-1,Geo Team Proposal: Improvements to backup and restore process,GitLab
318,Shreya Agarwal,Result Reporter Tool for Bears,coala
319,sary nasser,Bringing the context to the translators by a magic gate .,LibreOffice
320,Tobias Soppa,Implement ClosedTabCache,Chromium
321,Darshpreet Singh,Develop an Android Mobile Application For Newborn Clinical Decision Support,LibreHealth
322,Naoto Ono,Tests for debugger,Ruby
323,Claudio Cambra,Plasma Mobile - Akonadi Calendar,KDE Community
324,Julius Marozas,Gradually Typed Hasktorch,Haskell.org
325,Nanubala Gnana Sai,A Framework for Multiobjective Optimizers,mlpack
326,HanwGeek,Implement sorting methods for PostGIS data types before building GiST index,OSGeo - Open Source Geospatial Foundation
327,Manikya,FastAI.jl Development,The Julia Language
328,Aditya Jeppu,Video Sequence Editor Improvements - Individual strip previews and modification indicators,Blender Foundation
329,Abhi Kulshrestha,Ask SCORE - Community App,SCoRe Lab
330,Fruityloops,Application for Embroidery Robot Programming using Pocket Code IDE,International Catrobat Association
331,Estefania Barreto-Ojeda,MDAnalysis module to calculate membrane curvature,MDAnalysis
332,Eesha Arif,Improve Frontend Type System,Oppia Foundation
333,Khaled Emara,XFS FUSE FreeBSD Port,FreeBSD Project
334,Pulak Malhotra,Heap Viewer,Rizin
335,Ritik Kumar Srivastava,GSoC’ 21: The Palisadoes Foundation,The Palisadoes Foundation
336,Matthew Filipovich,Modern Plotting Machinery for the Large Hadron Collider's Monte Carlo Event Analysis Tool,CERN-HSF
337,Nghia Duong,Faces engine Improvements,KDE Community
338,Minshuo Chen,Efficient and Scalable LP-based Multi-Stage Decision Making in R,The R Project for Statistical Computing
339,Xiaojie Yi,XFS Filesystem Support,Haiku
340,Matías Ceferino Demarchi,OpenLex: Migration to Python 3 and Py4Web,Python Software Foundation
341,ankit2001,Bug Logging Tool,OWASP Foundation
342,Harshal Dupare,Adding Interactive Notebooks for Algorithms Implemented in NetworkX,NumFOCUS
343,arpitvaghela,Integrating Pandas into Syft,OpenMined
344,Fabian Schempp,Porting popular modifiers to Geometry Nodes,Blender Foundation
345,Nikhil Agarwal,GSoC 2021 Proposal -- Implement schema validators for the handler params  (Nikhil Agarwal),Oppia Foundation
346,Umang Taneja,MIGRATE SPDX ONLINE TOOLS TO DJANGO 3,SPDX
347,Eshan Arora,Automatic Generation of schema from directory,Python Software Foundation
348,Nadezda Lutovinova,Finding bugs related to memory errors in Linux Kernel and improving environment model specifications for static verification,The Linux Foundation
349,Gangavarapu Praneeth,Write Frontend Tests,Oppia Foundation
350,Khanh-Tung Nguyen-Ba,GSOC Stan Proposal - Bayesian Computation Benchmark,NumFOCUS
351,Divyanshu Madan,Enhancing and extending clang-bind,Point Cloud Library
